x,y
4.0029,8.7086
4.5504,12.5859
3.2184,7.6639
4.0715,9.5744
0.7305,5.1473
2.36,7.1224
6.6198,13.0128
9.8998,20.3821
4.673,13.1098
8.6306,17.1434
3.6773,10.0917
0.4187,2.8119
6.229,13.5383
0.3712,6.1087
1.9845,5.0478
0.2831,1.7397
6.3103,15.7709
6.7816,15.6379
2.6907,7.4715
5.1346,13.1451
6.2733,14.6
4.0694,9.3162
4.4851,9.9863
2.372,7.4752
5.9361,14.738
2.1228,6.3962
4.9622,9.6148
5.6534,15.8127
9.7997,20.1422
3.6299,10.3701
9.3178,18.0805
4.6701,9.5461
1.2273,6.1891
5.501,13.405
3.803,7.3224
3.4625,8.4224
7.2752,16.9477
1.1766,3.3834
1.502,7.9351
0.7509,2.4672
9.9531,18.3472
8.2315,18.2808
6.4931,13.529
3.4071,9.9026
8.0105,16.4327
7.881,18.9336
4.3537,9.8872
2.0919,5.9246
0.6102,0.8732
2.4592,6.5008
4.79,10.3584
4.6404,10.1817
4.7695,11.2309
5.6081,12.976
8.5591,16.7805
6.6758,13.1377
5.3052,12.7674
6.225,12.6908
1.1047,2.9785
7.9384,16.7845
2.4628,8.4153
0.5717,3.6735
8.6573,20.9362
8.7835,18.0695
5.5269,13.0282
5.1655,14.5
9.9628,19.7578
6.0891,11.764
9.871,15.4277
2.8352,8.3745
5.5802,10.2828
1.6917,5.1704
5.1623,12.1582
9.1327,19.9711
3.3787,9.7701
5.7937,12.3161
9.8107,22.3689
1.8785,5.3173
3.4384,9.5295
9.2691,17.4477
0.448,1.4195
0.3161,1.9172
4.6505,12.0558
7.2386,16.141
3.9918,8.3398
1.1994,4.9938
8.5421,18.7245
5.3522,11.1711
8.5627,16.313
6.3816,13.8916
3.7569,10.1813
3.7631,10.3798
3.197,7.5533
5.6097,13.9352
0.499,5.3503
6.3065,11.0356
0.7004,3.7537
7.4741,15.1214
0.7086,3.957
6.9819,14.6006
